index,u,v
0,0.5266811146164897,0.7074584166643193
1,0.5207896099648396,0.6801083090299544
2,0.5565534770621123,0.6502337906231651
3,0.5951798775084524,0.6352464827134912
4,0.62923785804393,0.6145243550262195
5,0.6531151831052586,0.5990524679404424
6,0.665625,0.5804238967437875
20,0.35588314640532126,0.6063366827059157
21,0.3747037358539095,0.622704475308642
22,0.4039627043791447,0.6351436251810352
23,0.44329156107612755,0.6412945800056316
24,0.488679995875111,0.6420423356390405
25,0.5361145965494938,0.6376357377416225
26,0.5816127404792709,0.6248018858637565
27,0.617802211164322,0.6056026919335529
28,0.6440790968962747,0.5835417855934713
29,0.6628014184397163,0.5655809200157604
43,0.3479462423804941,0.5742310314404876
44,0.3637814595819064,0.5872100412029109
45,0.38901423984675854,0.600325228770495
46,0.42613460491006194,0.6045702201291283
47,0.4697628078276165,0.6075764847326524
48,0.5183746003557244,0.6061121704639693
49,0.5656043453401944,0.5940897655803317
50,0.6065558668507023,0.5773520414366222
51,0.6379901871160516,0.5593788525429395
52,0.6599129899014187,0.5492568826641019
