index,u,v
0,0.40506652466506143,0.6950207793109835
1,0.4058790364170105,0.666833197794351
2,0.44719499597497353,0.6521068975707183
3,0.49170706668652064,0.6496018939567488
4,0.5375459745332792,0.6385414817116477
5,0.5817461901306241,0.6387858309143686
6,0.6149036859889587,0.6301474554222983
7,0.6383461796246649,0.6098768431635389
8,0.6505038759689923,0.598359980620155
22,0.34222896762208066,0.5955565665756748
23,0.36162207328899976,0.6121764165973954
24,0.38990725822394434,0.624868597283726
25,0.4285350737115656,0.6361548701850682
26,0.4741917537169956,0.6352464912842861
27,0.5203125,0.6390625
28,0.5660734236937535,0.6167747490934163
29,0.6042840979222383,0.6011279186381403
30,0.632541738740965,0.5916922144313338
31,0.6500049738517508,0.5746823840381992
45,0.33626469764837624,0.5596913493840986
46,0.35082658991985627,0.577847886727926
47,0.37762794768924046,0.5858478232448686
48,0.413116377563275,0.596631385669679
49,0.45800480560146123,0.598943066669566
50,0.5062583879813056,0.5963694185385571
51,0.5533343977275302,0.5899629633300859
52,0.5952322778075673,0.5811479942357318
53,0.6273237069556867,0.5671625623085015
54,0.6488618986254295,0.5514310567010309
55,0.6578125,0.5304747596153846
56,0.6578125,0.53203125
