index,u,v
0,0.49475837898501107,0.4523169415278095
1,0.45226410505836573,0.45982125486381326
2,0.41364730255485094,0.4775631081893724
3,0.3722110839011925,0.47444218483816014
4,0.3339564698186686,0.4649367355786783
5,0.308837008501594,0.4505384896386822
7,0.3015625,0.39608796296296295
18,0.6265625,0.371875
19,0.6312820065176908,0.3886813314711359
20,0.6319599029680365,0.4187083808980213
21,0.6125053979824501,0.4412193178677537
22,0.5815700050454087,0.46024791876892024
23,0.5384250145933325,0.4760815686210922
24,0.490044571580628,0.48763187552828474
25,0.4380941740329936,0.491887641813524
26,0.3890500348648892,0.49432705140509253
27,0.35023547437563385,0.48896093155742903
28,0.3212197229574424,0.47819693790485474
29,0.30211343930635837,0.46300664051747875
43,0.6349340036860365,0.44733575455333907
44,0.6186702504725898,0.46367303537672167
45,0.5917802198044614,0.48662405804390796
46,0.5537060317623214,0.5030745696179798
47,0.5080414394162736,0.5166629431382666
48,0.45851098403960283,0.5219595859448666
49,0.4107325061156174,0.524788729560963
50,0.3673626547931891,0.5249322217322437
51,0.3342741134490877,0.5133109549735139
52,0.3119773366127899,0.4971009201510892
