index,u,v
0,0.6063368926064363,0.4470732860789498
1,0.5736553345809355,0.4523241097312968
2,0.5260450359891585,0.4824810945051011
3,0.47642589283681974,0.4892283064552842
4,0.42346800189147826,0.49123129277484184
5,0.37678454774888825,0.48323042449767917
6,0.3388374795224384,0.46815700394658466
7,0.31434097917411513,0.44735668238291026
8,0.30478515625,0.41906241357853985
22,0.644356729930192,0.4322221313263525
23,0.6226890027743527,0.45991431984322706
24,0.589898709249727,0.4738367161909219
25,0.5467103121445249,0.4905415101329103
26,0.49654459047472654,0.5060080572848615
27,0.4450248126041088,0.510503643808995
28,0.39648015885114946,0.5087956487438259
29,0.35517299420235643,0.49984740274920514
30,0.327154601494931,0.4832544282318575
31,0.30805962074530513,0.4680233091255868
45,0.6459168546274738,0.46102344659487776
46,0.6279568230473941,0.4811280774767459
47,0.6008684940465452,0.5051347138282518
48,0.5618150246305419,0.5202253078817733
49,0.5145232570558403,0.537156380918913
50,0.46418464629104933,0.5406194841841238
51,0.4152007422776496,0.5407007718651992
52,0.37154577949925177,0.5322307611591663
53,0.33894817073170735,0.518258052757158
54,0.3172295866508555,0.5049450491275623
