index,u,v
0,0.54183863319147,0.3667760316561413
1,0.5564789218695194,0.33048436951946686
2,0.6016723648156062,0.33461393731617184
3,0.6500049745544005,0.3569605321868744
4,0.695163958289223,0.3919221760533559
5,0.7263019520800217,0.4316058378242159
6,0.7440302787115618,0.4794978059903009
7,0.7431959932102643,0.5283818048373846
8,0.7303822352609155,0.5734027916863915
9,0.7056036972276727,0.6135229088866384
10,0.6801803178484108,0.6474365831295843
14,0.4777955911823647,0.6869968061122245
15,0.43740472443966844,0.6649338923856309
16,0.3995390600021315,0.6392830617872749
17,0.3693083692875048,0.6072362038420749
18,0.34899216484148415,0.5664886019851985
19,0.34122096146624387,0.5192209797212718
20,0.3497351926866652,0.4721872165222559
21,0.37210239418220914,0.42372231892844636
22,0.40821006222092554,0.382491881469454
23,0.4581517362524557,0.35116234115325395
24,0.5135830340418951,0.33208131240011685
25,0.5724615114147223,0.3267638116256875
26,0.6282740235409886,0.34161620366865997
27,0.6730217854359302,0.3663451106210366
28,0.7070753666392544,0.4057758532072368
43,0.34550155386740333,0.46832441298342536
44,0.366488530256038,0.41882052593374686
45,0.3960002451290486,0.370833102701164
46,0.43962398199417996,0.33828592322770995
47,0.49218669503022394,0.31541672748660526
48,0.5487196930280958,0.30845388917793964
49,0.6037214944954888,0.3145187950086913
50,0.6521763180433955,0.3313408533974115
51,0.6877967763897294,0.3787485411083254
52,0.717488459924465,0.4110260176248426
