index,u,v
4,0.7869791666666667,0.5229166666666667
5,0.7942708333333334,0.5296875
6,0.8020833333333334,0.5411458333333333
7,0.8083333333333333,0.5541666666666667
8,0.8083333333333333,0.5682291666666667
9,0.8052083333333333,0.5791666666666667
17,0.8104166666666667,0.5286458333333334
18,0.8192708333333333,0.5354166666666667
19,0.8276041666666667,0.546875
20,0.8302083333333333,0.5619791666666667
21,0.8291666666666667,0.5739583333333333
22,0.8229166666666666,0.5817708333333333
30,0.8401041666666667,0.5348958333333333
31,0.8473958333333333,0.546875
32,0.8515625,0.5598958333333334
33,0.8510416666666667,0.5734375
34,0.8447916666666667,0.58125
40,0.846875,0.5307291666666667
41,0.8572916666666667,0.5322916666666667
42,0.8661458333333333,0.5416666666666666
43,0.871875,0.5546875
44,0.8723958333333334,0.5677083333333334
45,0.8682291666666667,0.5786458333333333
52,0.8765625,0.5333333333333333
53,0.8859375,0.540625
54,0.8911458333333333,0.5536458333333333
55,0.8921875,0.5682291666666667
56,0.8880208333333334,0.5770833333333333
63,0.8989583333333333,0.5359375
64,0.7921875,0.5484375
65,0.7942708333333334,0.5625
66,0.7916666666666666,0.5755208333333334
67,0.7875,0.5822916666666667
75,0.8052083333333333,0.5296875
76,0.8119791666666667,0.5390625
77,0.8171875,0.5526041666666667
78,0.8192708333333333,0.5666666666666667
79,0.815625,0.5776041666666667
80,0.8098958333333334,0.5817708333333333
87,0.8229166666666666,0.5302083333333333
88,0.8322916666666667,0.5375
89,0.8395833333333333,0.5494791666666666
90,0.8416666666666667,0.5635416666666667
91,0.8385416666666666,0.5755208333333334
92,0.8328125,0.5822916666666667
99,0.8479166666666667,0.5307291666666667
100,0.85625,0.540625
101,0.8614583333333333,0.5541666666666667
102,0.8609375,0.5677083333333334
103,0.8572916666666667,0.578125
104,0.85,0.5822916666666667
110,0.8661458333333333,0.5307291666666667
111,0.8760416666666667,0.5385416666666667
112,0.88125,0.5510416666666667
113,0.8833333333333333,0.5651041666666666
114,0.8796875,0.5760416666666667
121,0.8869791666666667,0.5333333333333333
122,0.896875,0.5416666666666666
123,0.9015625,0.5546875
124,0.9010416666666666,0.5682291666666667
125,0.8953125,0.5770833333333333
271,0.6177083333333333,0.5786458333333333
272,0.6197916666666666,0.5755208333333334
273,0.6213541666666667,0.5666666666666667
274,0.6208333333333333,0.5546875
275,0.6197916666666666,0.5411458333333333
276,0.61875,0.5276041666666667
278,0.6333333333333333,0.5322916666666667
279,0.6338541666666667,0.5458333333333333
280,0.634375,0.5588541666666667
281,0.6317708333333333,0.5708333333333333
282,0.6291666666666667,0.5776041666666667
328,0.64375,0.5125
329,0.6421875,0.525
330,0.6427083333333333,0.5380208333333333
331,0.6432291666666666,0.5520833333333334
332,0.6432291666666666,0.565625
333,0.6421875,0.5755208333333334
334,0.6385416666666667,0.5807291666666666
346,0.653125,0.5135416666666667
347,0.6541666666666667,0.5239583333333333
348,0.6552083333333333,0.5369791666666667
349,0.6546875,0.5520833333333334
350,0.6541666666666667,0.5651041666666666
351,0.6510416666666666,0.5765625
352,0.6494791666666667,0.5822916666666667
362,0.659375,0.5078125
363,0.6619791666666667,0.5114583333333333
364,0.6645833333333333,0.5197916666666667
365,0.6661458333333333,0.5328125
366,0.6671875,0.5484375
367,0.6666666666666666,0.5614583333333333
368,0.6640625,0.5723958333333333
369,0.6619791666666667,0.5796875
380,0.6760416666666667,0.5125
381,0.6796875,0.521875
382,0.6822916666666666,0.5359375
383,0.6828125,0.5505208333333333
387,0.6869791666666667,0.5145833333333333
388,0.6901041666666666,0.5239583333333333
389,0.6927083333333334,0.5369791666666667
390,0.6932291666666667,0.5515625
391,0.6921875,0.5645833333333333
392,0.6901041666666666,0.575
393,0.6869791666666667,0.5807291666666666
403,0.7114583333333333,0.51875
404,0.7171875,0.5286458333333334
405,0.7203125,0.5432291666666667
406,0.7197916666666667,0.5572916666666666
407,0.7177083333333333,0.5697916666666667
408,0.7145833333333333,0.578125
417,0.7307291666666667,0.5145833333333333
